symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESH6,-2,0,0.25,333363744762,333363744792,1,7012.00,6993.75,$(912.50),01/12/2026 23:49:52,01/13/2026 08:15:30,8h 25min 37sec
ESH6,-2,0,0.25,333363744844,333363744807,1,6958.50,6999.25,"$2,037.50",01/14/2026 17:52:16,01/13/2026 13:57:50,27h 54min 26sec
ESH6,-2,0,0.25,333363744962,333363744856,1,6972.75,6962.50,$(512.50),01/14/2026 23:15:15,01/14/2026 19:07:28,4h 7min 47sec
ESH6,-2,0,0.25,333363744970,333363744890,1,6972.75,6961.00,$(587.50),01/14/2026 23:15:15,01/14/2026 22:09:57,1h 5min 17sec
ESH6,-2,0,0.25,333363744984,333363744940,1,6973.25,6963.25,$(500.00),01/14/2026 23:15:16,01/14/2026 22:22:06,53min 9sec
ESH6,-2,0,0.25,333363744999,333363745025,1,6976.75,6986.75,$500.00,01/15/2026 01:21:58,01/15/2026 02:23:11,1h 1min 12sec
ESH6,-2,0,0.25,333363745040,333363745062,1,6990.00,7000.00,$500.00,01/15/2026 03:56:00,01/15/2026 06:38:46,2h 42min 45sec
ESH6,-2,0,0.25,333363745113,333363745085,1,6834.00,6853.50,$975.00,01/21/2026 04:37:34,01/21/2026 00:12:47,4h 24min 46sec
ESH6,-2,0,0.25,333363745136,333363745177,1,6887.50,6901.50,$700.00,02/02/2026 00:36:40,02/02/2026 01:04:52,28min 11sec
ESH6,-2,0,0.25,333363745189,333363745215,1,6934.75,6955.75,"$1,050.00",02/02/2026 06:07:46,02/02/2026 07:30:34,1h 22min 48sec
ESH6,-2,0,0.25,333363745257,333363745235,1,6922.25,6902.25,"$(1,000.00)",02/03/2026 13:19:17,02/03/2026 11:45:12,1h 34min 4sec
ESH6,-2,0,0.25,333363745335,333363745277,2,6839.25,6811.75,"$(2,750.00)",02/06/2026 02:30:16,02/05/2026 22:58:23,3h 31min 52sec
ESH6,-2,0,0.25,333363745346,333363745313,2,6852.00,6831.75,"$(2,025.00)",02/06/2026 04:00:26,02/06/2026 02:15:59,1h 44min 26sec
ESH6,-2,0,0.25,333363745395,333363745361,1,6925.25,6912.00,$(662.50),02/06/2026 10:08:01,02/06/2026 09:25:48,42min 13sec
