symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESZ5,-2,0,0.25,333363741573,333363741595,2,6843.50,6853.50,"$1,000.00",12/11/2025 08:01:16,12/11/2025 08:06:02,4min 46sec
ESZ5,-2,0,0.25,333363741618,333363741658,2,6866.50,6874.25,$775.00,12/11/2025 08:50:17,12/11/2025 08:56:17,5min 59sec
ESZ5,-2,0,0.25,333363741675,333363741697,2,6893.75,6903.75,"$1,000.00",12/12/2025 02:45:42,12/12/2025 06:25:26,3h 39min 43sec
ESZ5,-2,0,0.25,333363741734,333363741712,2,6836.25,6826.25,"$(1,000.00)",12/12/2025 10:16:10,12/12/2025 10:02:21,13min 48sec
ESZ5,-2,0,0.25,333363741771,333363741749,2,6855.00,6845.00,"$(1,000.00)",12/12/2025 11:12:15,12/12/2025 10:48:33,23min 41sec
ESH6,-2,0,0.25,333363741853,333363741808,2,6868.50,6878.75,"$1,025.00",12/16/2025 07:15:11,12/16/2025 05:17:22,1h 57min 49sec
ESH6,-2,0,0.25,333363741903,333363741948,2,6835.00,6859.50,"$2,450.00",12/16/2025 08:26:30,12/16/2025 08:54:44,28min 13sec
ESH6,-2,0,0.25,333363741865,333363741948,2,6850.25,6859.50,$925.00,12/16/2025 08:20:35,12/16/2025 08:54:44,34min 8sec
ESH6,-2,0,0.25,333363741962,333363741993,2,6849.75,6852.75,$300.00,12/16/2025 09:08:22,12/16/2025 09:08:34,11sec
ESH6,-2,0,0.25,333363742005,333363742027,2,6839.25,6829.25,"$(1,000.00)",12/16/2025 10:39:03,12/16/2025 10:51:26,12min 23sec
ESH6,-2,0,0.25,333363742042,333363742064,2,6823.75,6833.75,"$1,000.00",12/16/2025 11:00:54,12/16/2025 11:34:49,33min 55sec
ESH6,-2,0,0.25,333363742084,333363742118,2,6854.00,6838.75,"$(1,525.00)",12/16/2025 16:37:51,12/16/2025 17:04:01,26min 9sec
ESH6,-2,0,0.25,333363742160,333363742142,2,6823.00,6813.00,"$(1,000.00)",12/18/2025 06:30:01,12/18/2025 06:30:01,
ESH6,-2,0,0.25,333363742197,333363742175,2,6842.00,6832.00,"$(1,000.00)",12/18/2025 07:30:14,12/18/2025 06:41:16,48min 58sec
ESH6,-2,0,0.25,333363742221,333363742239,1,6870.50,6880.50,$500.00,12/19/2025 07:49:27,12/19/2025 07:59:06,9min 38sec
ESH6,-2,0,0.25,333363742268,333363742320,1,6887.75,6903.00,$762.50,12/19/2025 11:01:12,12/21/2025 22:14:47,59h 13min 35sec
ESH6,-2,0,0.25,333363742257,333363742320,1,6887.75,6903.00,$762.50,12/19/2025 11:01:12,12/21/2025 22:14:47,59h 13min 35sec
ESH6,-2,0,0.25,333363742351,333363742386,2,6912.25,6916.75,$450.00,12/22/2025 08:40:54,12/22/2025 08:42:35,1min 41sec
ESH6,-2,0,0.25,333363742504,333363742398,2,6931.25,6923.25,$(800.00),12/22/2025 09:16:54,12/22/2025 09:09:17,7min 36sec
ESH6,-2,0,0.25,333363742512,333363742424,2,6931.25,6926.75,$(450.00),12/22/2025 09:16:54,12/22/2025 09:13:29,3min 24sec
ESH6,-2,0,0.25,333363742520,333363742450,2,6931.25,6928.75,$(250.00),12/22/2025 09:16:54,12/22/2025 09:15:19,1min 34sec
ESH6,-2,0,0.25,333363742553,333363742605,2,6928.25,6933.75,$550.00,12/22/2025 09:32:21,12/22/2025 10:52:12,1h 19min 50sec
ESH6,-2,0,0.25,333363742559,333363742613,2,6928.25,6933.75,$550.00,12/22/2025 09:32:21,12/22/2025 10:52:12,1h 19min 50sec
