symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESH6,-2,0,0.25,333363743542,333363743512,1,6944.00,6956.25,$612.50,12/30/2025 00:23:39,12/29/2025 22:10:09,2h 13min 29sec
ESH6,-2,0,0.25,333363743557,333363743629,2,6949.50,6955.50,$600.00,12/30/2025 07:39:14,12/30/2025 07:49:23,10min 9sec
ESH6,-2,0,0.25,333363743599,333363743637,2,6947.75,6955.50,$775.00,12/30/2025 07:42:10,12/30/2025 07:49:23,7min 13sec
ESH6,-2,0,0.25,333363743655,333363743734,2,6945.75,6955.50,$975.00,12/30/2025 08:13:27,12/30/2025 09:18:01,1h 4min 34sec
ESH6,-2,0,0.25,333363743781,333363743746,2,6950.75,6959.25,$850.00,12/30/2025 09:41:35,12/30/2025 09:23:05,18min 29sec
ESH6,-2,0,0.25,333363743798,333363743820,1,6941.50,6931.50,$(500.00),12/30/2025 17:00:32,12/30/2025 18:00:30,59min 58sec
ESH6,-2,0,0.25,333363743835,333363743857,1,6920.00,6909.75,$(512.50),12/31/2025 12:37:40,12/31/2025 13:00:48,23min 7sec
ESH6,-2,0,0.25,333363743877,333363743901,1,6882.50,6902.50,"$1,000.00",01/02/2026 10:57:40,01/02/2026 12:30:36,1h 32min 56sec
ESH6,-2,0,0.25,333363743954,333363743916,1,6910.50,6900.25,$(512.50),01/04/2026 19:35:09,01/02/2026 13:16:32,54h 18min 36sec
ESH6,-2,0,0.25,333363744024,333363743974,1,6917.25,6913.75,$(175.00),01/05/2026 01:15:11,01/05/2026 00:03:14,1h 11min 57sec
ESH6,-2,0,0.25,333363744039,333363744083,1,6934.25,6940.75,$325.00,01/05/2026 07:29:16,01/05/2026 07:30:35,1min 19sec
ESH6,-2,0,0.25,333363744095,333363744117,1,6948.50,6958.50,$500.00,01/05/2026 08:26:06,01/05/2026 09:38:52,1h 12min 46sec
ESH6,-2,0,0.25,333363744140,333363744175,1,6953.50,6943.50,$(500.00),01/05/2026 10:42:28,01/05/2026 12:42:36,2h 7sec
ESH6,-2,0,0.25,333363744190,333363744228,1,6945.50,6948.25,$137.50,01/05/2026 14:36:47,01/05/2026 19:26:31,4h 49min 43sec
ESH6,-2,0,0.25,333363744240,333363744294,1,6953.50,6956.00,$125.00,01/05/2026 21:49:20,01/06/2026 00:00:33,2h 11min 12sec
ESH6,-2,0,0.25,333363744309,333363744339,1,6955.75,6951.75,$(200.00),01/06/2026 00:13:00,01/06/2026 00:45:33,32min 32sec
ESH6,-2,0,0.25,333363744354,333363744402,1,6987.25,6988.50,$62.50,01/06/2026 12:11:15,01/06/2026 16:19:16,4h 8min 
ESH6,-2,0,0.25,333363744414,333363744484,1,6988.75,6989.50,$37.50,01/06/2026 16:19:21,01/07/2026 06:40:55,14h 21min 34sec
ESH6,-2,0,0.25,333363744462,333363744495,1,6979.50,6990.75,$562.50,01/07/2026 01:51:57,01/07/2026 07:30:16,5h 38min 19sec
ESH6,-2,0,0.25,333363744506,333363744547,1,6966.00,6967.75,$87.50,01/07/2026 13:31:27,01/07/2026 16:00:46,2h 29min 19sec
ESH6,-2,0,0.25,333363744564,333363744586,1,6959.25,6969.25,$500.00,01/08/2026 22:37:46,01/09/2026 03:27:43,4h 49min 57sec
ESH6,-2,0,0.25,333363744614,333363744638,1,6994.00,6984.00,$(500.00),01/11/2026 17:11:18,01/11/2026 17:38:08,26min 49sec
ESH6,-2,0,0.25,333363744653,333363744683,1,6971.50,6953.75,$(887.50),01/11/2026 18:37:42,01/12/2026 01:30:34,6h 52min 51sec
ESH6,-2,0,0.25,333363744698,333363744745,1,7009.50,7020.25,$537.50,01/12/2026 10:30:19,01/12/2026 13:13:57,2h 43min 37sec
ESH6,-2,0,0.25,333363744762,333363744792,1,7012.00,6993.75,$(912.50),01/12/2026 23:49:52,01/13/2026 08:15:30,8h 25min 37sec
