symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESZ5,-2,0,0.25,333363740773,333363740738,2,6861.50,6864.50,$300.00,12/04/2025 01:16:31,12/04/2025 00:47:07,29min 23sec
ESZ5,-2,0,0.25,333363740816,333363740785,2,6864.25,6868.50,$425.00,12/04/2025 03:40:27,12/04/2025 02:45:44,54min 43sec
ESZ5,-2,0,0.25,333363740850,333363740828,2,6877.75,6867.75,"$(1,000.00)",12/04/2025 07:09:09,12/04/2025 05:18:19,1h 50min 50sec
ESZ5,-2,0,0.25,333363740870,333363740892,2,6881.25,6871.25,"$(1,000.00)",12/04/2025 22:11:23,12/05/2025 06:35:24,8h 24min 
ESZ5,-2,0,0.25,333363740911,333363740967,1,6886.50,6872.25,$(712.50),12/05/2025 08:56:14,12/05/2025 09:32:12,35min 57sec
ESZ5,-2,0,0.25,333363740911,333363740979,1,6886.50,6872.25,$(712.50),12/05/2025 08:56:14,12/05/2025 09:32:12,35min 58sec
ESZ5,-2,0,0.25,333363740937,333363740990,2,6882.00,6872.00,"$(1,000.00)",12/05/2025 09:15:46,12/05/2025 09:32:13,16min 27sec
ESZ5,-2,0,0.25,333363741051,333363741010,4,6887.25,6890.00,$550.00,12/08/2025 03:35:59,12/07/2025 23:00:59,4h 35min 
ESZ5,-2,0,0.25,333363741063,333363741085,8,6876.25,6866.25,"$(4,000.00)",12/08/2025 08:03:49,12/08/2025 08:15:45,11min 55sec
ESZ5,-2,0,0.25,333363741100,333363741122,8,6866.75,6856.75,"$(4,000.00)",12/08/2025 08:40:08,12/08/2025 08:56:09,16min 
ESZ5,-2,0,0.25,333363741137,333363741159,10,6856.00,6836.00,"$(10,000.00)",12/08/2025 09:38:47,12/08/2025 11:58:29,2h 19min 42sec
ESZ5,-2,0,0.25,333363741179,333363741201,3,6867.50,6847.50,"$(3,000.00)",12/08/2025 17:11:26,12/09/2025 03:39:47,10h 28min 20sec
ESZ5,-2,0,0.25,333363741179,333363741213,7,6867.50,6847.50,"$(7,000.00)",12/08/2025 17:11:26,12/09/2025 03:39:47,10h 28min 20sec
ESZ5,-2,0,0.25,333363741228,333363741250,10,6851.00,6871.00,"$10,000.00",12/09/2025 07:03:37,12/09/2025 09:16:22,2h 12min 44sec
ESZ5,-2,0,0.25,333363741270,333363741309,10,6844.75,6852.50,"$3,875.00",12/09/2025 18:45:27,12/09/2025 23:33:51,4h 48min 23sec
ESZ5,-2,0,0.25,333363741321,333363741347,10,6852.75,6854.75,"$1,000.00",12/10/2025 02:21:40,12/10/2025 06:25:01,4h 3min 20sec
ESZ5,-2,0,0.25,333363741366,333363741409,2,6836.00,6841.00,$500.00,12/10/2025 08:37:00,12/10/2025 08:42:49,5min 48sec
ESZ5,-2,0,0.25,333363741421,333363741468,2,6834.00,6841.00,$700.00,12/10/2025 09:03:14,12/10/2025 09:07:49,4min 35sec
ESZ5,-2,0,0.25,333363741519,333363741480,2,6848.75,6853.75,$500.00,12/10/2025 09:46:20,12/10/2025 09:20:04,26min 16sec
