ticker	analysis_period_start	analysis_period_end	analysis_buy	analysis_sell	analysis_return	analysis_trades	analysis_eval_metric	evaluation_period_start	evaluation_period_end	evaluation_return	evaluation_trades	evaluation_data_good	analysis_avg_trade_duration	current_price_below_lb	percent_below_lb	current_price_below_ub	percent_below_ub	current_price_between_bounds	num_days_below_lb	num_days_below_ub	trend_slope	norm_trend_slope	cyclicality	profit_score	profit_rank	swing_probability	current_price_below_lb_weight	percent_below_lb_weight	num_days_below_lb_weight	cyclicality_weight	norm_trend_slope_weight
AIP	2024-08-22	2025-08-21	9.2	10.408168421052633	1.1062590724466186	7	0.47906913145317453	2025-08-22	2025-08-22	0.0	0	False	43.142857142857146	True	0.0021739130434782145	True	0.11800043690380846	False	0	6	0.0022991703231568664	0.00027130846135104157	0.056527946440348045	2.9059278350515463	9.0	very_high	1.0	0.25	0.0	0.75	1.75
ALGN	2024-08-22	2025-08-21	170.1705263157895	190.1655789473684	0.16454550912268395	4	0.04113637728067099	2025-08-22	2025-08-22	0.0	0	False	29.75	True	0.17335861241355435	True	0.26027622465297556	False	16	16	-0.22366091947529038	-0.001121823925728189	0.051027639447335835	2.193298969072165	31.0	medium	1.0	0.25	0.0	0.75	1.75
ALNT	2024-08-22	2025-08-21	24.15797894736842	26.265153684210524	0.6567874900928496	6	0.2545889350501638	2025-08-22	2025-08-22	0.0	0	False	33.0	False	-0.8271396003848354	False	-0.68055365411911	False	0	0	0.05659924772811344	0.0021202541444679092	0.033248269218682465	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
AMAL	2024-08-22	2025-08-21	29.570778947368417	32.028084210526316	0.3225658645467151	5	0.10618210444248183	2025-08-22	2025-08-22	0.0	0	False	29.0	True	0.04060694341213074	True	0.11421489298208018	False	6	20	-0.012704654884182652	-0.0003989106346854959	0.06913825514825263	2.6134020618556697	20.0	high	1.0	0.25	0.0	0.75	1.75
AMDL	2024-08-22	2025-08-21	10.207010526315791	13.513011368421054	1.4850379721196711	4	0.3712594930299178	2025-08-22	2025-08-22	0.0	0	False	68.5	False	-0.06005573052989364	True	0.19929024663698794	True	0	5	-0.01496984887611557	-0.0017091689456333117	0.041119034920841346	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
AMSF	2024-08-22	2025-08-21	48.388905263157895	49.606947368421054	0.16258717657659583	9	0.08129358828829791	2025-08-22	2025-08-22	0.0	0	False	18.22222222222222	True	0.04482236684964325	True	0.06827566597208375	False	64	78	-0.0237619163495888	-0.00047900457258295235	0.05906668809484185	2.4806701030927836	24.0	medium	1.0	0.25	0.0	0.75	1.75
AMZN	2024-08-22	2025-08-21	181.3352842105263	185.65800000000002	0.2378069324348986	9	0.1189034662174493	2025-08-22	2025-08-22	0.0	0	False	4.666666666666667	False	-0.22397580242751255	False	-0.19547770632022304	False	0	0	0.07301701730007262	0.00035338705256416725	0.059881904348970935	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
APEI	2024-08-22	2025-08-21	21.273536	22.175642105263158	0.5835489670025884	11	0.31962901650071524	2025-08-22	2025-08-22	0.0	0	False	15.818181818181818	False	-0.4619102343869868	False	-0.40243966115500845	False	0	0	0.04740712352369385	0.002109551253359693	0.055062896476215706	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
APVO	2024-08-22	2025-08-21	1.8845	306.2593600000001	0.04568437319992524	1	-0.02284218659996262	2025-08-22	2025-08-22	0.0	0	False	8.0	False	-0.09843459803661436	True	0.9932410229029408	True	0	207	-0.6975560370109543	-0.008386342982756532	0.033570022536445705	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
ARCT	2024-08-22	2025-08-21	16.428505263157895	17.736484210526314	1.1615088201917803	10	0.6105568110646307	2025-08-22	2025-08-22	0.0	0	False	21.7	False	-0.06400428523464993	True	0.014460825915775011	True	0	2	-0.026145459614529246	-0.0016448421520221985	0.06245597502116088	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
ASBP	2024-08-22	2025-08-21	0.22091	0.33030000000000004	0.5039756578651826	1	-0.2519878289325913	2025-08-22	2025-08-22	0.0	0	False	6.0	False	-1.4317595400841974	False	-0.6264002422040568	False	0	0	-0.0435905071634278	-0.010123027771680391	0.020689789193669126	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
ASML	2024-08-22	2025-08-21	697.2767368421053	735.5445810526315	0.4569127582389225	7	0.19786757342047234	2025-08-22	2025-08-22	0.0	0	False	22.142857142857142	False	-0.05467450890524622	True	0.00019656327618464226	True	0	0	-0.10826863701134287	-0.0001472035986854242	0.05149104729673461	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
ATAI	2024-08-22	2025-08-21	1.3157894736842106	1.55072	2.1807130905293457	7	0.9443649794599747	2025-08-22	2025-08-22	0.0	0	False	21.285714285714285	False	-2.3363999999999994	False	-1.8309430458109777	False	0	0	0.005818962866680661	0.003156967391065636	0.04747071399809827	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
ATOM	2024-08-22	2025-08-21	3.3857894736842105	7.556158947368427	3.8722852766609286	3	0.5187878563721107	2025-08-22	2025-08-22	0.0	0	False	54.333333333333336	True	0.022384579511891774	True	0.5619467479369569	False	3	66	0.001435384734525586	0.00025496561485010053	0.037682910118162945	2.5502577319587627	21.0	high	1.0	0.25	0.0	0.75	1.75
AVGO	2024-08-22	2025-08-21	169.4787696842105	182.06082105263158	0.5408622737284257	6	0.20965312578938405	2025-08-22	2025-08-22	0.0	0	False	16.833333333333332	False	-0.708768599982235	False	-0.5906772161391064	False	0	0	0.3305028119890977	0.0015546017750750181	0.04151668217402358	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
AVL	2024-08-22	2025-08-21	21.05315789473684	22.15178947368421	1.1528019774120453	13	0.673207365102575	2025-08-22	2025-08-22	0.0	0	False	6.3076923076923075	False	-0.979750506237344	False	-0.8815635662082664	False	0	0	0.052452534422450146	0.0018311325288759685	0.04758028117684987	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BABX	2024-08-22	2025-08-21	20.80294736842105	32.5945052631579	3.904371948615003	4	0.9760929871537507	2025-08-22	2025-08-22	0.0	0	False	54.0	False	-0.2565527152022994	True	0.19802433603597386	True	0	68	0.028152238491782645	0.001125986437298734	0.04186630704813445	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BBSI	2024-08-22	2025-08-21	41.34682694736842	42.07955789473684	0.3035990482557853	15	0.18601564247387747	2025-08-22	2025-08-22	0.0	0	False	12.733333333333333	False	-0.11907015401444065	False	-0.09958379590740168	False	0	0	0.018510069024667956	0.00044998190772332566	0.06753940002000888	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BIDU	2024-08-22	2025-08-21	88.65301052631578	93.9885894736842	1.1114684547415887	14	0.6658897954005083	2025-08-22	2025-08-22	0.0	0	False	19.214285714285715	True	0.01176508863177495	True	0.06786557293180932	False	2	21	-0.009629854376729457	-0.00010840986289838516	0.055740670916695184	2.622422680412371	18.0	high	1.0	0.25	0.0	0.75	1.75
BLNK	2024-08-22	2025-08-21	0.9489735789473684	1.0728947368421053	1.2581762655943627	8	0.5909275385970574	2025-08-22	2025-08-22	0.0	0	False	18.375	True	0.041069192875316025	True	0.1518273240127545	False	2	18	-0.0035611723656141622	-0.0028200532983860935	0.05141409237161678	1.9304123711340206	35.0	low	1.0	0.25	0.0	0.75	1.75
BNTX	2024-08-22	2025-08-21	105.95626315789474	114.67168421052632	1.0458844397874452	9	0.5229422198937226	2025-08-22	2025-08-22	0.0	0	False	18.444444444444443	False	-0.04543135722833	True	0.03402482694300717	True	0	13	-0.015392487589840185	-0.0001414165272677806	0.08503551689358349	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BSCP	2024-08-22	2025-08-21	20.661052631578947	20.70842105263158	0.026117222443245547	12	0.014808133387175683	2025-08-22	2025-08-22	0.0	0	False	21.25	False	-0.00043305481964549936	True	0.0018553347227163151	True	0	4	0.00019738499268937907	9.54730603944797e-06	0.07088152610441598	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BSCQ	2024-08-22	2025-08-21	19.42105263157895	19.459221052631577	0.026014813639556378	13	0.01519199696658786	2025-08-22	2025-08-22	0.0	0	False	3.5384615384615383	False	-0.004579945799458007	False	-0.0026095056544700535	False	0	0	7.170733836025592e-05	3.6786214491056356e-06	0.08445783132530103	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
BSJQ	2024-08-22	2025-08-21	23.341157894736842	23.39884210526316	0.04792921538152406	21	0.03224069698969008	2025-08-22	2025-08-22	0.0	0	False	9.666666666666666	True	0.0028343878669258795	True	0.005292659555803636	False	4	4	-0.00046501903010096263	-1.992863444969732e-05	0.0501124126845176	2.6146907216494846	19.0	high	1.0	0.25	0.0	0.75	1.75
BZAI	2024-08-22	2025-08-21	2.425705263157895	2.53	0.8877182665377359	15	0.543906460295259	2025-08-22	2025-08-22	0.0	0	False	3.2666666666666666	False	-0.5047170220706294	False	-0.4426877470355732	False	0	0	-0.033706652107614136	-0.005579769994942524	0.025392817497801375	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CAN	2024-08-22	2025-08-21	0.7219831578947369	0.8127242105263158	0.8991971643316845	7	0.38940029080965965	2025-08-22	2025-08-22	0.0	0	False	14.714285714285714	True	0.08585125181517575	True	0.1879164033115396	False	2	4	-0.0025940852353859276	-0.002150157929953863	0.04596154808977437	1.8582474226804124	36.0	low	1.0	0.25	0.0	0.75	1.75
CCOI	2024-08-22	2025-08-21	45.389305263157894	51.82814484210526	0.06397565824208629	3	0.00857111298060826	2025-08-22	2025-08-22	0.0	0	False	27.0	True	0.17337355611709127	True	0.2760690139632646	False	11	24	-0.11890638676698864	-0.0018271068092332661	0.036901414389731456	1.7822164948453607	38.0	low	1.0	0.25	0.0	0.75	1.75
CETX	2024-08-22	2025-08-21	1.1305892631578947	1.228	0.5855451446389501	6	0.22697343820654992	2025-08-22	2025-08-22	0.0	0	False	6.5	False	-0.06139341589732717	True	0.022801302931596112	True	0	2	-0.508775306983597	-0.01374670648468896	0.01034115521230504	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CEVA	2024-08-22	2025-08-21	21.844263157894737	22.524526315789476	0.3753137273711631	11	0.2055717075039057	2025-08-22	2025-08-22	0.0	0	False	6.2727272727272725	False	-0.016742924193031562	True	0.013963726090390429	True	0	1	-0.014904093314547954	-0.0005675253547412597	0.055207418330617666	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CG	2024-08-22	2025-08-21	50.42332631578948	53.21515789473685	0.4616470026663888	7	0.19991775354775237	2025-08-22	2025-08-22	0.0	0	False	35.42857142857143	False	-0.23553927422061946	False	-0.17071906698526718	False	0	0	0.023236928658947165	0.00047501043538509196	0.047225302545538764	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CGNX	2024-08-22	2025-08-21	39.034	40.399873684210526	0.36541856847396126	9	0.18270928423698063	2025-08-22	2025-08-22	0.0	0	False	31.11111111111111	False	-0.09494287031818423	False	-0.05792409981479885	False	0	0	-0.02313364050229478	-0.0006551166000479258	0.04740770126326167	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CGON	2024-08-22	2025-08-21	25.3988	26.895842105263156	0.7815482904152564	11	0.42807977657192176	2025-08-22	2025-08-22	0.0	0	False	8.181818181818182	False	-0.02288297084901645	True	0.03405143819921288	True	0	11	-0.03995748152605777	-0.0013628781987561304	0.060017021729301304	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CHEF	2024-08-22	2025-08-21	61.48	62.68184210526316	0.3135303213137084	14	0.18783856673645363	2025-08-22	2025-08-22	0.0	0	False	19.214285714285715	False	-0.004879635653871247	True	0.014387613301929945	True	0	0	0.07883240767416698	0.0014817909208708982	0.05479014070375031	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
CIGI	2024-08-22	2025-08-21	119.09743157894736	122.163	0.19602414170747995	7	0.08488889958114935	2025-08-22	2025-08-22	0.0	0	False	5.571428571428571	False	-0.36661217494106546	False	-0.33231829604708457	False	0	0	-0.04472215919473575	-0.0003269397875880986	0.0529195050580765	0.0	124.0	zero	1.0	0.25	0.0	0.75	1.75
